id,value
id_187,24.425538279013686
id_188,26.81781189928998
id_189,56.410303934335936
id_190,55.31952017433744
id_191,59.33474972682757
id_192,57.6424349595635
id_193,58.66061569383699
id_194,55.39990545735065
id_195,58.878805288536284
id_196,47.05611714586275
id_197,42.347668949233366
id_198,31.28359123243031
id_199,21.55736300770307
id_200,25.148684623856973
id_201,24.652513304827263
id_202,29.491825599959796
id_203,30.86923623098038
id_204,36.1077101103386
id_205,26.50628717475494
id_206,26.819115472911292
id_207,27.82378668897928
id_208,29.39902128081231
id_209,33.46853223525351
id_210,32.95847154389478
id_211,29.71597376041244
id_212,31.083678199124705
id_213,34.301682986187984
id_214,35.22064652285531
id_215,29.836606581058476
id_216,20.521373099750882
id_217,16.851805472626328
id_218,11.630354788879165
id_219,14.922539320972588
id_220,16.995217475624152
id_221,14.592699436410538
id_222,14.180414726229952
id_223,7.497931561323808
id_224,7.904257149310008
id_225,8.85273697292274
id_226,16.964149432460733
id_227,21.371371183250982
id_228,23.08668116804589
id_229,15.206900811908469
id_230,12.551653266461916
id_231,8.476069937667537
id_232,11.60635032201557
id_233,12.790561531317248
id_234,17.228977953042417
id_235,18.697202950154473
id_236,12.139982433373007
id_237,7.580417152867638
id_238,10.665217448560462
id_239,22.092312236616273
